"거주자우선주차구획번호",거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지도로명주소,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금할인정보,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자
26530-660-006,35.151875,129.013228,냉정역4번출구주변,부산광역시 사상구 주감로 250,부산광역시 사상구 주례동 24-3,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-007,35.150297,129.010413,주례2동주민센터,부산광역시 사상구,부산광역시 사상구 주례동 154,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-009,35.148108,129.008429,우진맨션주변,부산광역시 사상구,부산광역시 사상구 주례동 92-207,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-010,35.149163,129.009371,장성주차장,부산광역시 사상구,부산광역시 사상구 주례동 92-98,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-011,35.1483203,129.0144293,주례중학교주변,부산광역시 사상구,부산광역시 사상구 주례동 82-13,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-660-012,35.147789,129.013198,경남정보대학주변,부산광역시 사상구,"부산광역시 사상구 주례동 80-2, 10",전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-001,35.148681,129.007022,주례여중학교주변,부산광역시 사상구,부산광역시 사상구 주례동 95,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-002,35.1487268,129.0027431,주례럭키아파트도로,부산광역시 사상구 냉정로,부산광역시 사상구 주례동 595,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-003,35.146952,128.998968,주례교도소주변,부산광역시 사상구,부산광역시 사상구 주례동 646-4,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-004,35.148274,129.005625,조양맨션주변,부산광역시 사상구,부산광역시 사상구 주례동 122,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-006,35.1455437,129.0033197,동주중학교주변,부산광역시 사상구,부산광역시 사상구 주례동 1262-1,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-007,35.144903,129.002877,동주윗길주변,부산광역시 사상구,부산광역시 사상구 주례동 545-18,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-011,35.144628,129.003206,동주윗길2주변,부산광역시 사상구,부산광역시 사상구 주례동 544-27,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-012,35.144348,129.003571,동주윗길3주변,부산광역시 사상구,부산광역시 사상구 주례동 544-52,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-661-013,35.145242,129.002523,일신주택주변,부산광역시 사상구,부산광역시 사상구 주례동 547-69,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-670-002,35.141285,128.983297,성심메디칼,부산광역시 사상구,부산광역시 사상구 학장동 611-6,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-670-005,35.139093,128.984049,삼성1차아파트주변,부산광역시 사상구,부산광역시 사상구 학장동 574-111,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-670-007,35.142182,128.986284,위뜨락마을,부산광역시 사상구,부산광역시 사상구 학장동 474-3,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-001,35.127006,128.975584,엄궁주공아파트앞,부산광역시 사상구,부산광역시 사상구 엄궁동 726,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-002,35.127276,128.970249,구 엄궁동사무소,부산광역시 사상구,부산광역시 사상구 엄궁동 328-3,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-003,35.125998,128.974033,엄궁제당길주변,부산광역시 사상구,부산광역시 사상구 엄궁동 128-11,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-004,35.128707,128.972177,엄궁동주민센터,부산광역시 사상구,부산광역시 사상구 엄궁동 618-31,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-005,35.1302648,128.9722665,엄궁동우체국주변,부산광역시 사상구,부산광역시 사상구 엄궁동 522-7,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-006,35.124448,128.971309,남산길주변,부산광역시 사상구,부산광역시 사상구 엄궁동 192,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-007,35.129224,128.974669,엄궁중앙길주변,부산광역시 사상구,부산광역시 사상구 엄궁동 47,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-008,35.126246,128.969367,당산마을주변,부산광역시 사상구,부산광역시 사상구 엄궁동 169,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-010,35.125143,128.970906,엄궁목장길주변,부산광역시 사상구,부산광역시 사상구 엄궁동 186-4,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-680-011,35.133682,128.973825,학진초등학교주변,부산광역시 사상구,부산광역시 사상구 엄궁동 25-7,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-580-003,35.172955,128.979817,한마음주변,부산광역시 사상구,부산광역시 사상구 삼락동 411-2,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-004,35.193405,128.992778,여로횟집앞,부산광역시 사상구 백양대로979번길,부산광역시 사상구 모라동 1329-1,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-005,35.1681655,128.9958715,한일아파트주변,부산광역시 사상구 백양대로950번길,부산광역시 사상구 모라동 1326,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-006,35.184051,128.991876,우신아파트주변,부산광역시 사상구,부산광역시 사상구 모라동 1362,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-007,35.1845859,128.9897006,동원아파트주변,부산광역시 사상구,부산광역시 사상구 모라동 1361,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-008,35.1873297,128.9900358,안각단길주변,부산광역시 사상구,부산광역시 사상구 모라동 449,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-011,35.185408,128.993723,천기동길주차장,부산광역시 사상구,부산광역시 사상구 모라동 421,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-013,35.193135,128.992238,늘푸른사상,부산광역시 사상구 백양대로979번가길 14 (모라동),부산광역시 사상구 모라동 1330-5,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-015,35.192486,128.991036,곡상골,부산광역시 사상구 백양대로979번라길 25 (모라동),부산광역시 사상구 모라동 1335-15,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-600-001,35.1919999,128.9937589,유원아파트주변,부산광역시 사상구 사상로310번길,부산광역시 사상구 모라동 198,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-580-004,35.194214,128.987204,삼락재첩국거리주변,부산광역시 사상구 낙동대로1534번길 34 (삼락동),부산광역시 사상구 삼락동 54-13,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-580-006,35.169848,128.977535,삼락생태공원주변,부산광역시 사상구,부산광역시 사상구 삼락동 419-20,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-580-007,35.170669,128.9776196,현대골드빌라주변,부산광역시 사상구 사상로277번나길 26 (삼락동),부산광역시 사상구 삼락동 417-18,전일,24시간,1월~12월,전일:4만원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-001,35.186465,128.983877,농심주변,부산광역시 사상구 모덕로67번길,부산광역시 사상구 모라동 695-1,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-002,35.191242,128.986684,유진맨션건너편,부산광역시 사상구,부산광역시 사상구 모라동 650-3,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-591-003,35.187045,128.987537,농협주변,부산광역시 사상구,부산광역시 사상구 모라동 841-3,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
26530-600-002,35.169855,128.987652,경부선철로변(787-11),부산광역시 사상구 백양대로703번길,부산광역시 사상구 덕포동 787-11,야간,19:00~익일08:00,1월~12월,야간:2만2천원,"①1,000cc이하의 경형자동차 ②장애인 유공자 ③요일제 참여자",지로납부+무통장입금+계좌이체,,2019-01-01,2019-12-31,방문,1)신청서 2)자동차등록증 3)할인대상자 증명서 등,051-310-4501,부산광역시 사상구청,2019-03-29
