주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
314-1-000002,남대천변 우안,공영,노상,전라북도 무주군 무주읍 읍내리 1144,전라북도 무주군 무주읍 읍내리 1144,80,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.004375,127.654277,2018-08-22,4740000,전라북도 무주군
314-2-000001,무주시장 부설주차장,공영,노외,전라북도 무주군 무주읍 읍내리 1230-2,전라북도 무주군 무주읍 읍내리 1230-2,96,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.004275,127.652842,2018-08-22,4740000,전라북도 무주군
314-2-000002,보건의료원 부설주차장,공영,노외,전라북도 무주군 무주읍 한풍루로 413,전라북도 무주군 무주읍 당산리 701,78,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.005882,127.671709,2018-08-22,4740000,전라북도 무주군
314-2-000003,무주읍사무소 앞,공영,노외,전라북도 무주군 무주읍 향학로 47,전라북도 무주군 무주읍 읍내리 315-1,57,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.008628,127.662294,2018-08-22,4740000,전라북도 무주군
314-2-000004,예체문화관 주차장,공영,노외,전라북도 무주군 무주읍 한풍루로 326-17,전라북도 무주군 무주읍 당산리 1199-3,154,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.006609,127.656347,2018-08-22,4740000,전라북도 무주군
314-2-000005,차쉼터 무료공영주차장,공영,노외,전라북도 무주군 무주읍 주계로 97,전라북도 무주군 무주읍 읍내리 229-2,138,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.007034,127.66073,2018-08-22,4740000,전라북도 무주군
314-2-000006,무주건강원 앞 주차장,공영,노외,전라북도 무주군 무주읍 읍내리 1106-3,전라북도 무주군 무주읍 읍내리 1106-3,17,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.006609,127.656347,2018-08-22,4740000,전라북도 무주군
314-2-000007,진강원식당 옆 주차장,공영,노외,전라북도 무주군 무주읍 읍내리 912-2,전라북도 무주군 무주읍 읍내리 912-2,34,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.006453,127.658856,2018-08-22,4740000,전라북도 무주군
314-2-000008,올레 케이티 옆 주차장,공영,노외,전라북도 무주군 무주읍 읍내리 1149,전라북도 무주군 무주읍 읍내리 1149,25,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.004128,127.653826,2018-08-22,4740000,전라북도 무주군
314-2-000009,신도수퍼 뒤,공영,노외,전라북도 무주군 무주읍 읍내리 907-2,전라북도 무주군 무주읍 읍내리 907-2,5,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.007048,127.658651,2018-08-22,4740000,전라북도 무주군
314-2-000010,뼈다귀 감자탕집 앞,공영,노외,전라북도 무주군 무주읍 한풍루로 351,전라북도 무주군 무주읍 당산리 1229,18,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.004672,127.664375,2018-08-22,4740000,전라북도 무주군
314-2-000011,유화성상회 앞,공영,노외,전라북도 무주군 무주읍 읍내리 912-2,전라북도 무주군 무주읍 읍내리 912-2,31,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.006453,127.658856,2018-08-22,4740000,전라북도 무주군
314-2-000012,신옥류관 앞,공영,노외,전라북도 무주군 무주읍 읍내리 250-6,전라북도 무주군 무주읍 읍내리 250-6,5,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.007796,127.663702,2018-08-22,4740000,전라북도 무주군
314-2-000013,구 미로나이트,공영,노외,전라북도 무주군 무주읍 주계로 61,전라북도 무주군 무주읍 읍내리 960-8,15,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.006241,127.656903,2018-08-22,4740000,전라북도 무주군
314-2-000014,축협 옆,공영,노외,전라북도 무주군 무주읍 읍내리 209-4,전라북도 무주군 무주읍 읍내리 209-4,12,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.006633,127.663015,2018-08-22,4740000,전라북도 무주군
314-2-000015,남대천숯불갈비 옆,공영,노외,전라북도 무주군 무주읍 당산리 1564-1,전라북도 무주군 무주읍 당산리 1564-1,94,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.006633,127.663015,2018-08-22,4740000,전라북도 무주군
314-2-000016,당산마을 앞,공영,노외,전라북도 무주군 무주읍 당산리 718-1,전라북도 무주군 무주읍 당산리 718-1,26,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.005683,127.667945,2018-08-22,4740000,전라북도 무주군
194-1-000072,구 주전고갯길 노상 주차장,공영,노상,,울산광역시 동구 주전동 산183-1,205,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.551823,129.444771,2018-06-30,3710000,울산광역시 동구
194-2-000033,구견인사무소,공영,노외,,울산광역시 동구 방어동 913-15,44,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.489907,129.418646,2018-06-30,3710000,울산광역시 동구
194-1-000065,꽃바위로 노상 주차장,공영,노상,,"울산광역시 동구 방어동 1166, 1066-1, 1073",558,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.486247,129.424018,2018-06-30,3710000,울산광역시 동구
194-1-000021,남목1동주차장,공영,노상,,울산광역시 동구 남목1동(남목1동 주택가 이면도로),108,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.538308,129.419971,2018-06-30,3710000,울산광역시 동구
194-2-000002,남목2동(235-27),공영,노외,,울산광역시 동구 서부동 235-27,285,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.532011,129.417994,2018-06-30,3710000,울산광역시 동구
194-2-000047,남목2동(257-68),공영,노외,,울산광역시 동구 서부동 257-68,160,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.528235,129.429007,2018-06-30,3710000,울산광역시 동구
194-1-000022,남목3동이면주차장,공영,노상,,울산광역시 동구 남목3동(남목3동 주택가이면도로),103,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.555352,129.443389,2018-06-30,3710000,울산광역시 동구
194-2-000035,남목3동주차장,공영,노외,,울산광역시 동구 동부동 338-2,6,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.543954,129.429429,2018-06-30,3710000,울산광역시 동구
194-1-000081,남목시장앞 주차장,공영,노상,울산광역시 동구 남목17길 4 ~ 동해안로 49(동부동),"울산광역시 동구 동부동 239-1, 305-8",17,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,0,0,0,0,0,0,0,,월~금(09:00~18:00) 유료,울산광역시 동구청,052-209-3722,35.542189,129.427672,2018-06-30,3710000,울산광역시 동구
194-2-000067,늘푸른아파트 일원 공영주차장,공영,노외,,울산광역시 동구 전하동 산 166-6 외 4,57,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.528017,129.413703,2018-06-30,3710000,울산광역시 동구
194-1-000075,대송 공영주차장,공영,노상,,울산광역시 동구 화정동 211 외 11,96,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.505109,129.418342,2018-06-30,3710000,울산광역시 동구
194-1-000078,대송로 개구리 주차장,공영,노상,울산광역시 동구 학문로 39~대송로 92-1(화정동),울산광역시 동구 일산동 582,33,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.501608,129.424507,2018-06-30,3710000,울산광역시 동구
194-2-000051,대왕암,공영,노외,,울산광역시 동구 일산동 911-1,261,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,60000,현금+신용카드,,울산광역시 동구청,052-209-3753,35.488639,129.436686,2018-06-30,3710000,울산광역시 동구
194-2-000052,대왕암 임시,공영,노외,,울산광역시 동구 일산동 911-1,110,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3753,35.488639,129.436686,2018-06-30,3710000,울산광역시 동구
194-1-000007,대학길제1공영주차장,공영,노상,울산광역시 동구 대학길 29~95(화정동),"울산광역시 동구 화정동 177, 200",109,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,0,현금,월~금(09:00~18:00)유료,울산광역시 동구청,052-209-3722,35.501081,129.418349,2018-06-30,3710000,울산광역시 동구
194-1-000008,대학길제2공영주차장,공영,노상,울산광역시 동구 대학길 123~180(일산동),울산광역시 동구 일산동 598,41,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,0,현금,월~금(09:00~18:00)유료,울산광역시 동구청,052-209-3722,35.497328,129.425855,2018-06-30,3710000,울산광역시 동구
194-2-000062,동울산종합시장 공영주차장,공영,노외,,울산광역시 동구 전하동 647-18,29,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,0,현금,월~금(09:00~18:00) 유료,울산광역시 동구청,052-209-3722,35.509982,129.426266,2018-06-30,3710000,울산광역시 동구
194-1-000073,동진로 노상 주차장,공영,노상,울산광역시 동구 동진로 15~39(방어동),울산광역시 동구 방어동 135,29,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.486351,129.428246,2018-06-30,3710000,울산광역시 동구
194-2-000024,동축사입구,공영,노외,,울산광역시 동구 동부동 425-2,81,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.546832,129.424963,2018-06-30,3710000,울산광역시 동구
194-2-000066,마을둘레길 쉼터 주차장,공영,노외,,울산광역시 동구 주전동 316,6,2,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.554849,129.456533,2018-06-30,3710000,울산광역시 동구
194-2-000050,막구직,공영,노외,,울산광역시 동구 일산동 901,152,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3753,35.491109,129.433634,2018-06-30,3710000,울산광역시 동구
194-1-000019,명덕로주차장,공영,노상,울산광역시 동구 명덕로21~70(서부동),울산광역시 동구 서부동 235-4,58,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.522763,129.429425,2018-06-30,3710000,울산광역시 동구
194-1-000063,명덕상가 공영주차장,공영,노상,울산광역시 동구 방어진순환도로 919~939(서부동),"울산광역시 동구 서부동 150-14, 150-11",28,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,0,현금,월~금(09:00~18:00) 유료,울산광역시 동구청,052-209-3722,35.523453,129.432744,2018-06-30,3710000,울산광역시 동구
194-2-000032,방어동(1009-6),공영,노외,,울산광역시 동구 방어동 1009-6 외 1,50,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.482148,129.408353,2018-06-30,3710000,울산광역시 동구
194-2-000038,방어동(1025-4),공영,노외,,울산광역시 동구 방어동 1025-4,17,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.478558,129.413221,2018-06-30,3710000,울산광역시 동구
194-2-000059,방어동(1082-2),공영,노외,,울산광역시 동구 방어동 1082-2,18,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.486313,129.419401,2018-06-30,3710000,울산광역시 동구
194-1-000044,방어동(144-72),공영,노상,,울산광역시 동구 방어동 144-72,10,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.488697,129.425186,2018-06-30,3710000,울산광역시 동구
194-2-000029,방어동(167-4),공영,노외,,울산광역시 동구 방어동 167-4,10,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.485311,129.430592,2018-06-30,3710000,울산광역시 동구
194-2-000028,방어동(20-41),공영,노외,,울산광역시 동구 방어동 20-41,60,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.484068,129.431106,2018-06-30,3710000,울산광역시 동구
194-2-000004,방어동(325-4),공영,노외,,울산광역시 동구 방어동 325-4,9,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.482752,129.423508,2018-06-30,3710000,울산광역시 동구
194-2-000057,방어동(355-7),공영,노외,,울산광역시 동구 방어동 355-7,5,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.485106,129.422385,2018-06-30,3710000,울산광역시 동구
194-1-000030,방어동(437-18),공영,노상,,울산광역시 동구 방어동 437-18,5,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.486115,129.421475,2018-06-30,3710000,울산광역시 동구
194-2-000045,방어동(462-12),공영,노외,,울산광역시 동구 방어동 462-12,5,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.487091,129.423579,2018-06-30,3710000,울산광역시 동구
194-2-000048,방어동(509-1),공영,노외,,울산광역시 동구 방어동 509-1,41,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.482987,129.416002,2018-06-30,3710000,울산광역시 동구
194-2-000080,방어동(916-6),공영,노외,,울산광역시 동구 방어동 916-6,12,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.488645,129.418263,2018-06-30,3710000,울산광역시 동구
194-2-000034,방어동(970-2),공영,노외,,울산광역시 동구 방어동 970-2,30,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.485193,129.409274,2018-06-30,3710000,울산광역시 동구
194-1-000012,번덕로 개구리주차장,공영,노상,울산광역시 동구 번덕로 14~36(일산동),울산광역시 동구 일산동 583,24,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.502061,129.426082,2018-06-30,3710000,울산광역시 동구
194-2-000037,산생마을,공영,노외,,울산광역시 동구 전하동 737,18,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.510751,129.420463,2018-06-30,3710000,울산광역시 동구
194-1-000020,서부길주차장,공영,노상,울산광역시 동구 서부길 1~25(서부동),울산광역시 동구 서부동 257-26,43,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.527608,129.431445,2018-06-30,3710000,울산광역시 동구
194-2-000060,성끝마을 임시,공영,노외,,울산광역시 동구 방어동 3-8,55,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3754,35.482161,129.433896,2018-06-30,3710000,울산광역시 동구
194-2-000061,쇠평어린이공원,공영,노외,,울산광역시 동구 동부동 98,76,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3755,35.551245,129.434172,2018-06-30,3710000,울산광역시 동구
194-2-000054,슬도 공영주차장,공영,노외,,울산광역시 동구 방어동 2-3,37,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3754,35.480671,129.432043,2018-06-30,3710000,울산광역시 동구
194-1-000010,옥류로공영주차장,공영,노상,울산광역시 동구 옥류로10~49(동부동),울산광역시 동구 서부동 919-1,88,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,0,현금,월~금(09:00~18:00)유료,울산광역시 동구청,052-209-3722,35.540745,129.426289,2018-06-30,3710000,울산광역시 동구
194-2-000070,옥류천 공영주차장,공영,노외,,울산광역시 동구 동부동 425-1,83,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,60000,현금,월~금(08:00~18:00)유료,울산광역시 동구청,052-209-3722,35.547496,129.424636,2018-06-30,3710000,울산광역시 동구
194-2-000077,울산대교 전망대 공영주차장,공영,노외,,울산광역시 동구 화정동 산 83,113,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3367,35.504577,129.414072,2018-06-30,3710000,울산광역시 동구
194-2-000076,월봉골어린이공원 지하주차장,공영,노외,울산광역시 동구 화진8길 1(화정동),울산광역시 동구 화정동 952,45,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.501121,129.415512,2018-06-30,3710000,울산광역시 동구
194-1-000015,월봉로 개구리 주차장,공영,노상,,울산광역시 동구 화정동 862-2 ~ 859-25,28,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.494396,129.419119,2018-06-30,3710000,울산광역시 동구
194-1-000009,월봉로공영주차장,공영,노상,울산광역시 동구 월봉로 39~69(화정동),울산광역시 동구 화정동 668,35,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,혼합,30,500,10,200,10,10000,0,현금,월~금(09:00~18:00)유료,울산광역시 동구청,052-209-3722,35.494698,129.423665,2018-06-30,3710000,울산광역시 동구
194-2-000040,일산동(232-4),공영,노외,,울산광역시 동구 일산동 232-4,10,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.501819,129.432921,2018-06-30,3710000,울산광역시 동구
194-2-000053,일산동(948-4),공영,노외,,울산광역시 동구 일산동 948-4,127,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.498023,129.426267,2018-06-30,3710000,울산광역시 동구
194-2-000046,일산동(961-1),공영,노외,,울산광역시 동구 일산동 961-1,30,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.494615,129.429286,2018-06-30,3710000,울산광역시 동구
194-1-000011,일산동이면주차장,공영,노상,,울산광역시 동구 일산동(벅수길부근이면도로),55,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.499424,129.429988,2018-06-30,3710000,울산광역시 동구
194-1-000013,일산동주차장,공영,노상,,울산광역시 동구 일산동(일산동주택가이면도로),249,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.499424,129.429988,2018-06-30,3710000,울산광역시 동구
194-2-000026,일산해수욕장중앙,공영,노외,,"울산광역시 동구 일산동 961-3, 962, 963",290,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.494195,129.429257,2018-06-30,3710000,울산광역시 동구
194-2-000041,전하1동(299-10),공영,노외,,울산광역시 동구 전하동 299-10,21,1,미시행,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,무료,0,0,0,0,0,0,0,,,울산광역시 동구청,052-209-3722,35.517255,129.427621,2018-06-30,3710000,울산광역시 동구
